EC,Entrepreneurial Competency,1,0.22
BP,Business plan,2,0.18
MLC,Managerial and leadership capacities ,3,0.16
ANT,Adoption of New Technologies,4,0.14
MC,Marketing Capability ,5,0.12
SPS,Standardization of products and services,6,0.1
FEE,Favorable External Environment,7,0.8
